State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
Washington,King,53,033,1980-10-31,123,Unhealthy for Sensitive Groups,CO,53-033-0077,13
Washington,King,53,033,1980-11-01,80,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-11-02,57,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-11-03,90,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-11-04,168,Unhealthy,CO,53-033-0075,13
Washington,King,53,033,1980-11-05,109,Unhealthy for Sensitive Groups,CO,53-033-0075,13
Washington,King,53,033,1980-11-06,96,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-11-07,69,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-11-08,67,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-11-09,51,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-11-10,70,Moderate,CO,53-033-0075,12
Washington,King,53,033,1980-11-11,84,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-11-12,81,Moderate,CO,53-033-1003,12
Washington,King,53,033,1980-11-13,106,Unhealthy for Sensitive Groups,CO,53-033-1003,11
Washington,King,53,033,1980-11-14,103,Unhealthy for Sensitive Groups,CO,53-033-1003,12
Washington,King,53,033,1980-11-15,109,Unhealthy for Sensitive Groups,CO,53-033-0075,12
Washington,King,53,033,1980-11-16,103,Unhealthy for Sensitive Groups,CO,53-033-0075,12
Washington,King,53,033,1980-11-17,81,Moderate,SO2,53-033-0057,12
Washington,King,53,033,1980-11-18,61,Moderate,CO,53-033-0075,12
Washington,King,53,033,1980-11-19,69,Moderate,CO,53-033-1003,12
Washington,King,53,033,1980-11-20,64,Moderate,CO,53-033-0075,12
Washington,King,53,033,1980-11-21,84,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-11-22,77,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-11-23,62,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-11-24,71,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-11-25,67,Moderate,CO,53-033-0062,13
Washington,King,53,033,1980-11-26,118,Unhealthy for Sensitive Groups,CO,53-033-0075,13
Washington,King,53,033,1980-11-27,62,Moderate,CO,53-033-0075,13
Washington,King,53,033,1980-11-28,76,Moderate,CO,53-033-0077,13
Washington,King,53,033,1980-11-29,112,Unhealthy for Sensitive Groups,SO2,53-033-0014,13
Washington,King,53,033,1980-11-30,161,Unhealthy,SO2,53-033-0014,13
Washington,King,53,033,1980-12-01,75,Moderate,CO,53-033-0077,12
Washington,King,53,033,1980-12-02,93,Moderate,CO,53-033-0051,12
Washington,King,53,033,1980-12-03,94,Moderate,SO2,53-033-0014,12
Washington,King,53,033,1980-12-04,125,Unhealthy for Sensitive Groups,SO2,53-033-0014,12
Washington,King,53,033,1980-12-05,165,Unhealthy,SO2,53-033-0014,12
Washington,King,53,033,1980-12-06,59,Moderate,CO,53-033-0075,12
Washington,King,53,033,1980-12-07,60,Moderate,CO,53-033-0075,12
Washington,King,53,033,1980-12-08,99,Moderate,CO,53-033-1003,11
Washington,King,53,033,1980-12-09,112,Unhealthy for Sensitive Groups,SO2,53-033-0073,11
Washington,King,53,033,1980-12-10,57,Moderate,CO,53-033-0075,10
Washington,King,53,033,1980-12-11,81,Moderate,CO,53-033-0075,10
Washington,King,53,033,1980-12-12,82,Moderate,CO,53-033-0051,11
Washington,King,53,033,1980-12-13,94,Moderate,SO2,53-033-0073,11
Washington,King,53,033,1980-12-14,81,Moderate,SO2,53-033-0073,11
Washington,King,53,033,1980-12-15,150,Unhealthy for Sensitive Groups,CO,53-033-1003,10
Washington,King,53,033,1980-12-16,135,Unhealthy for Sensitive Groups,CO,53-033-1003,11
Washington,King,53,033,1980-12-17,85,Moderate,CO,53-033-0051,10
Washington,King,53,033,1980-12-18,81,Moderate,CO,53-033-0051,11
